State_Year,STATE,YEAR,TOTAL_REVENUE,TOTAL_EXPENDITURE,GRADES_9_12_G,GRADES_ALL_G
1998_MI,MI,1998,14712250,14905765,448867,1720287
1998_MN,MN,1998,6672384,6815289,269736,856455
1998_MS,MS,1998,2400660,2543454,130815,502379
1998_MO,MO,1998,5990499,5849648,259990,913494
1998_MT,MT,1998,1035636,1007146,50348,159988
1998_NE,NE,1998,2062836,1966403,91386,291140
1998_NV,NV,1998,1906860,2030065,81767,311061
1998_NH,NH,1998,1420100,1428447,57924,204713
1998_NJ,NJ,1998,13786951,13973201,307945,1268996
1998_NM,NM,1998,1913783,1933538,96268,328753
1998_NY,NY,1998,27900803,29853891,774469,2877143
1998_NC,NC,1998,7516979,7688076,333983,1254821
1998_ND,ND,1998,731384,715126,38001,114927
1998_OH,OH,1998,13577343,13005301,541138,1842163
1998_OK,OK,1998,3559980,3617938,179642,628492
1998_OR,OR,1998,3892091,3939722,162272,542809
1998_PA,PA,1998,15671363,16432921,535400,1816414
1998_RI,RI,1998,1255280,1221558,42113,154785
1998_SC,SC,1998,4109130,4241163,186742,664600
1998_SD,SD,1998,793101,781279,41546,132495
1998_TN,TN,1998,4757639,4988208,240872,905454
1998_TX,TX,1998,24485263,25723965,1077158,3945367
1998_UT,UT,1998,2295870,2326611,147857,481176
1998_VT,VT,1998,1089658,1064388,31522,105120
1998_VA,VA,1998,7723744,7813707,308627,1124022
1998_WA,WA,1998,6928738,7211601,302103,998053
1998_WV,WV,1998,2178936,2100841,91413,297530
1998_WI,WI,1998,7083655,7532110,278839,879542
1998_WY,WY,1998,703280,706801,31292,95241
1999_AL,AL,1999,4471546,4622810,202045,740732
1999_AK,AK,1999,1243227,1289988,38790,134391
1999_AZ,AZ,1999,5085826,5072471,228813,852612
1999_AR,AR,1999,2684966,2650808,132893,451034
1999_CA,CA,1999,41393435,40834643,1675778,6038590
1999_CO,CO,1999,4740254,5040224,200982,708109
1999_CT,CT,1999,5460213,5269517,150080,553993
1999_DE,DE,1999,1004472,960335,32562,112836
1999_DC,DC,1999,758072,738942,15849,77194
1999_FL,FL,1999,17093036,16156822,655903,2381396
1999_GA,GA,1999,10380164,10106670,378732,1422762
1999_HI,HI,1999,1328572,1357649,52565,185860
1999_ID,ID,1999,1405250,1409367,76314,245136
1999_IL,IL,1999,16208970,16783840,563940,2027600
1999_IN,IN,1999,8167164,8196714,287282,988702
1999_IA,IA,1999,3740509,3789049,155506,497301
1999_KS,KS,1999,3390596,3189867,143129,472188
1999_KY,KY,1999,4188131,4305678,186919,648180
1999_LA,LA,1999,4641847,4702496,205282,756579
1999_ME,ME,1999,1708133,1699835,59860,209253
1999_MD,MD,1999,6850334,6892276,236400,846582
1999_MA,MA,1999,8388120,8673439,265174,971425
1999_MI,MI,1999,15248112,15837858,454253,1725639
1999_MN,MN,1999,6949149,7450965,273671,854034
1999_MS,MS,1999,2532681,2811852,129342,500716
1999_MO,MO,1999,6238901,6228001,262807,914110
1999_MT,MT,1999,1049369,1026263,49965,157556
1999_NE,NE,1999,2212104,2062226,91247,288261
1999_NV,NV,1999,2089048,2298474,85966,325610
1999_NH,NH,1999,1498286,1491560,59868,206783
1999_NJ,NJ,1999,14977501,14927302,312631,1289256
1999_NM,NM,1999,2068337,2098998,95903,324495
1999_NY,NY,1999,30215370,31841870,781175,2887776
1999_NC,NC,1999,8476795,8674393,341200,1275925
1999_ND,ND,1999,770094,756337,37783,112751
1999_OH,OH,1999,14507056,13865260,540104,1836554
1999_OK,OK,1999,3788901,3817848,179387,627032
1999_OR,OR,1999,4080653,4172435,165730,545033
1999_PA,PA,1999,16361921,17113809,541172,1816716
1999_RI,RI,1999,1358566,1289045,42751,156454
1999_SC,SC,1999,4365352,4610436,183055,666780
1999_SD,SD,1999,825851,838078,41400,131037
1999_TN,TN,1999,5059587,5446555,251809,916202
1999_TX,TX,1999,26096023,27883593,1095930,3991783
1999_UT,UT,1999,2425600,2448591,146450,480255
1999_VT,VT,1999,1147600,1129982,31913,104559
1999_VA,VA,1999,8331336,8335873,316757,1133994
1999_WA,WA,1999,7288143,7489129,308964,1003714
1999_WV,WV,1999,2190420,2169432,88049,291811
1999_WI,WI,1999,7415243,7875805,281314,877753
1999_WY,WY,1999,780875,739019,30436,92105
2000_AL,AL,2000,4885917,5003267,201358,739992
2000_AK,AK,2000,1313510,1386904,38914,133356
2000_AZ,AZ,2000,5479168,5397194,236933,877696
2000_AR,AR,2000,2844855,2683400,131511,449959
2000_CA,CA,2000,46628207,45829753,1707952,6140814
2000_CO,CO,2000,5073266,5444193,207942,724508
2000_CT,CT,2000,5884078,5605280,155734,562179
2000_DE,DE,2000,1098555,1040480,33875,114676
2000_DC,DC,2000,881423,858807,13781,68925
2000_FL,FL,2000,17558787,17180954,674919,2434821
2000_GA,GA,2000,11197766,10884510,384954,1444937
2000_HI,HI,2000,1404895,1363511,52031,184360
2000_ID,ID,2000,1452222,1467977,74696,245117
2000_IL,IL,2000,17595047,18073190,573246,2048792
2000_IN,IN,2000,8489991,8518477,283832,989267
2000_IA,IA,2000,3822452,3974813,155073,495080
2000_KS,KS,2000,3518271,3327090,143784,470610
2000_KY,KY,2000,4330089,4510972,191816,665850
2000_LA,LA,2000,4785331,4807097,194653,743089
2000_ME,ME,2000,1792390,1842276,60782,207037
2000_MD,MD,2000,7419047,7355698,240843,852920
2000_MA,MA,2000,9464271,9466363,272575,975150
2000_MI,MI,2000,15939477,16580526,486726,1720626
2000_MN,MN,2000,7344747,7736391,276574,854340
2000_MS,MS,2000,2743284,2996474,128171,497871
2000_MO,MO,2000,6675260,6708608,265356,912744
2000_MT,MT,2000,1104935,1051768,49565,154875
2000_NE,NE,2000,2263952,2165529,90713,286199
2000_NV,NV,2000,2252416,2437438,89966,340706
2000_NH,NH,2000,1586869,1640395,61254,208461
2000_NJ,NJ,2000,15651060,15907248,322555,1313405
2000_NM,NM,2000,2191695,2165031,95427,320306
2000_NY,NY,2000,31906526,33683043,782021,2882188
2000_NC,NC,2000,9064700,9275837,348168,1293638
2000_ND,ND,2000,812982,802768,36780,109201
2000_OH,OH,2000,15327834,14909952,541403,1835049
2000_OK,OK,2000,3906833,3876871,176709,623110
2000_OR,OR,2000,4369400,4398318,166182,546231
2000_PA,PA,2000,17090654,17861852,550652,1814311
2000_RI,RI,2000,1464820,1388454,43616,157347
2000_SC,SC,2000,4690418,4961392,184185,677411
2000_SD,SD,2000,868161,898609,40718,128603
2000_TN,TN,2000,5338531,5805181,241038,909161
2000_TX,TX,2000,28918934,31067935,1116572,4059619
2000_UT,UT,2000,2546642,2478420,143721,481485
2000_VT,VT,2000,1211370,1193813,31624,102049
2000_VA,VA,2000,8911426,9154676,329148,1144915
2000_WA,WA,2000,7620930,7811937,310403,1004770
2000_WV,WV,2000,2243151,2243563,84972,286367
2000_WI,WI,2000,7848352,8183251,284736,879476
2000_WY,WY,2000,787323,769923,29783,89940
2001_AL,AL,2001,4832946,5086045,201610,737190
2001_AK,AK,2001,1325498,1402839,39461,134358
2001_AZ,AZ,2001,5916342,5858385,249920,922180
2001_AR,AR,2001,2974588,2951677,131418,449805
2001_CA,CA,2001,53288943,52082540,1745295,6247726
2001_CO,CO,2001,5372784,5727966,212989,742145
2001_CT,CT,2001,6331569,5987680,160211,570228
2001_DE,DE,2001,1153831,1175717,34257,115560
2001_DC,DC,2001,1042261,1026146,13530,68449
2001_FL,FL,2001,18467090,18389394,703064,2500478
2001_GA,GA,2001,12271962,11853800,395439,1470634
2001_HI,HI,2001,1682332,1363164,52613,184546
2001_ID,ID,2001,1571348,1535485,75098,246521
2001_IL,IL,2001,18534372,19337580,585396,2071391
2001_IN,IN,2001,9124748,8991877,282531,996133
2001_IA,IA,2001,4068110,4211493,153856,485932
2001_KS,KS,2001,3681845,3491029,143570,470205
2001_KY,KY,2001,4536133,4350588,179275,654363
2001_LA,LA,2001,4982369,4939894,193536,731328
2001_ME,ME,2001,1914551,1958646,61067,205586
2001_MD,MD,2001,7864290,7981362,246807,860640
2001_MA,MA,2001,10613329,10572138,273644,973140
2001_MI,MI,2001,16772419,17573761,497159,1730668
2001_MN,MN,2001,7836617,8221636,278356,851384
2001_MS,MS,2001,2823151,2930393,126361,493507
2001_MO,MO,2001,7081783,7100685,265810,909792
2001_MT,MT,2001,1139959,1129098,49151,151947
2001_NE,NE,2001,2355374,2344564,90442,285095
2001_NV,NV,2001,2381897,2692840,94323,356814
2001_NH,NH,2001,1757828,1796043,62286,206847
2001_NJ,NJ,2001,16854895,17144456,349406,1341656
2001_NM,NM,2001,2373143,2315182,95224,320260
2001_NY,NY,2001,34373567,38062603,790657,2872132
2001_NC,NC,2001,9670620,9807815,359398,1315363
2001_ND,ND,2001,818139,814838,35593,106047
2001_OH,OH,2001,16693845,16282257,544353,1830985
2001_OK,OK,2001,4257128,4288405,175124,622139
2001_OR,OR,2001,4561948,4715944,169117,551480
2001_PA,PA,2001,17792997,18666522,563698,1821627
2001_RI,RI,2001,1592622,1504125,45263,158046
2001_SC,SC,2001,5437615,5492539,189475,676198
2001_SD,SD,2001,886661,950595,40479,127542
2001_TN,TN,2001,5560822,6165661,250392,924899
2001_TX,TX,2001,30868844,33201450,1147233,4163447
2001_UT,UT,2001,2741771,2669621,142021,484677
2001_VT,VT,2001,1300273,1306513,31787,101179
2001_VA,VA,2001,9493862,9862715,336897,1163091
2001_WA,WA,2001,7936037,8026334,312943,1009200
2001_WV,WV,2001,2321731,2310098,82857,282885
2001_WI,WI,2001,8363904,8574804,287557,879361
2001_WY,WY,2001,804297,787949,29035,88128
2002_AL,AL,2002,5128559,5147821,206159,739366
2002_AK,AK,2002,1377767,1523327,39984,134364
2002_AZ,AZ,2002,6192222,6018188,276984,937755
2002_AR,AR,2002,3147921,3087453,131716,450985
2002_CA,CA,2002,54727056,56464225,1807054,6353667
2002_CO,CO,2002,5849588,6237142,217397,751862
2002_CT,CT,2002,6644334,6475918,164025,570023
2002_DE,DE,2002,1180255,1246284,34121,116342
2002_DC,DC,2002,1138126,1145684,15374,76166
2002_FL,FL,2002,18541689,19051049,730650,2539929
2002_GA,GA,2002,13042229,12690343,407451,1496012
2002_HI,HI,2002,1889600,1436637,52922,183829
2002_ID,ID,2002,1625444,1666027,75355,248604
2002_IL,IL,2002,19084554,20563001,595349,2084187
2002_IN,IN,2002,9273957,9353054,288607,1003875
2002_IA,IA,2002,4191217,4418238,152147,482210
2002_KS,KS,2002,3823261,3690815,144334,470957
2002_KY,KY,2002,4621025,4541670,182479,660782
2002_LA,LA,2002,5229238,5298267,192902,730464
2002_ME,ME,2002,2041986,2057022,61873,204337
2002_MD,MD,2002,8430663,8568446,253506,866743
2002_MA,MA,2002,11217085,11507438,281939,982989
2002_MI,MI,2002,18055855,18881772,517152,1785160
2002_MN,MN,2002,8065042,8716123,279190,846891
2002_MS,MS,2002,3029559,3026111,126932,492645
2002_MO,MO,2002,7455539,7636924,271262,906499
