State_Year,STATE,YEAR,TOTAL_REVENUE,TOTAL_EXPENDITURE,GRADES_9_12_G,GRADES_ALL_G
1999_MN,MN,1999,6949149.0,7450965.0,273671.0,854034.0
1999_MS,MS,1999,2532681.0,2811852.0,129342.0,500716.0
1999_MO,MO,1999,6238901.0,6228001.0,262807.0,914110.0
1999_MT,MT,1999,1049369.0,1026263.0,49965.0,157556.0
1999_NE,NE,1999,2212104.0,2062226.0,91247.0,288261.0
1999_NV,NV,1999,2089048.0,2298474.0,85966.0,325610.0
1999_NH,NH,1999,1498286.0,1491560.0,59868.0,206783.0
1999_NJ,NJ,1999,14977501.0,14927302.0,312631.0,1289256.0
1999_NM,NM,1999,2068337.0,2098998.0,95903.0,324495.0
1999_NY,NY,1999,30215370.0,31841870.0,781175.0,2887776.0
1999_NC,NC,1999,8476795.0,8674393.0,341200.0,1275925.0
1999_ND,ND,1999,770094.0,756337.0,37783.0,112751.0
1999_OH,OH,1999,14507056.0,13865260.0,540104.0,1836554.0
1999_OK,OK,1999,3788901.0,3817848.0,179387.0,627032.0
1999_OR,OR,1999,4080653.0,4172435.0,165730.0,545033.0
1999_PA,PA,1999,16361921.0,17113809.0,541172.0,1816716.0
1999_RI,RI,1999,1358566.0,1289045.0,42751.0,156454.0
1999_SC,SC,1999,4365352.0,4610436.0,183055.0,666780.0
1999_SD,SD,1999,825851.0,838078.0,41400.0,131037.0
1999_TN,TN,1999,5059587.0,5446555.0,251809.0,916202.0
1999_TX,TX,1999,26096023.0,27883593.0,1095930.0,3991783.0
1999_UT,UT,1999,2425600.0,2448591.0,146450.0,480255.0
1999_VT,VT,1999,1147600.0,1129982.0,31913.0,104559.0
1999_VA,VA,1999,8331336.0,8335873.0,316757.0,1133994.0
1999_WA,WA,1999,7288143.0,7489129.0,308964.0,1003714.0
1999_WV,WV,1999,2190420.0,2169432.0,88049.0,291811.0
1999_WI,WI,1999,7415243.0,7875805.0,281314.0,877753.0
1999_WY,WY,1999,780875.0,739019.0,30436.0,92105.0
2000_AL,AL,2000,4885917.0,5003267.0,201358.0,739992.0
2000_AK,AK,2000,1313510.0,1386904.0,38914.0,133356.0
2000_AZ,AZ,2000,5479168.0,5397194.0,236933.0,877696.0
