State_Year,STATE,YEAR,TOTAL_REVENUE,TOTAL_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G
1997_TX,TX,1997,23091567,23671010,135616,289683,296894,292648,206928,2407162,1059416,3891877
1997_UT,UT,1997,2187279,2178778,3806,35310,35306,36365,35900,283693,149227,482957
1997_VT,VT,1997,1022546,1069297,1222,7281,8029,8375,6831,65190,30836,105984
1997_VA,VA,1997,7345090,7436340,4036,85729,83447,82753,66430,686834,303531,1110815
1997_WA,WA,1997,6667626,6792261,6671,72922,75322,76664,64731,614898,296744,991235
1997_WV,WV,1997,2053981,2018185,4838,22282,21405,23002,21765,179434,94012,301419
1997_WI,WI,1997,6724752,6990489,19627,60932,63661,66601,63188,523149,278072,881780
1997_WY,WY,1997,660079,695127,0,6496,7061,8232,7077,58894,31388,97115
1998_AL,AL,1998,4140537,4245033,10341,58055,58610,57105,43957,473954,205630,747980
1998_AK,AK,1998,1206195,1222893,2017,9838,10555,10497,8403,85124,38394,135373
1998_AZ,AZ,1998,4675296,4726098,5209,65312,67764,63943,45813,543670,224867,848262
1998_AR,AR,1998,2567380,2536027,1390,34120,35034,35936,29123,282517,132507,452256
1998_CA,CA,1998,39183018,38087666,81926,459262,462241,424768,334852,3666271,1627284,5926037
1998_CO,CO,1998,4359021,4739136,13068,50859,54382,53556,40076,436825,197136,699135
1998_CT,CT,1998,5024673,4810851,10056,42500,44520,40254,30437,346825,145317,544698
1998_DE,DE,1998,934530,915207,602,8025,8538,8964,6770,71328,33307,113262
1998_DC,DC,1998,706938,716740,4831,6446,5607,4083,2572,42997,13932,71889
1998_FL,FL,1998,15595671,15155383,53969,174470,186203,179066,112724,1475585,633609,2337633
1998_GA,GA,1998,9207163,8990897,30779,112287,112226,104863,71127,886320,371905,1401291
1998_HI,HI,1998,1279125,1266378,674,15019,15215,13339,10384,118938,53338,188069
1998_ID,ID,1998,1310960,1342719,2123,17318,18510,19073,17255,149163,76118,244722
